# Snapshot taken on Thu Apr 27 18:30:52 EDT 2017 from: https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population
	City	State	Count (2015)	Census (2010)	Change	Land area (2014) [English]	Land area (2014) [SI]	Population density (2010) [English]	Population density (2010) [SI]	Location
35	Sacramento	California	490,712	466,488	+5.19%	97.9 sq mi	253.6 km2	4,764 per sq mi	1,839 km−2	38.5666°N 121.4686°W
36	Kansas City	Missouri	475,378	459,787	+3.39%	315.0 sq mi	815.7 km2	1,460 per sq mi	564 km−2	39.1252°N 94.5511°W
37	Long Beach	California	474,140	462,257	+2.57%	50.3 sq mi	130.3 km2	9,191 per sq mi	3,549 km−2	33.8091°N 118.1553°W
38	Mesa	Arizona	471,825	439,041	+7.47%	136.5 sq mi	353.4 km2	3,218 per sq mi	1,242 km−2	33.4019°N 111.7174°W
39	Atlanta	Georgia	463,878	420,003	+10.45%	133.2 sq mi	344.9 km2	3,154 per sq mi	1,218 km−2	33.7629°N 84.4227°W
40	Colorado Springs	Colorado	456,568	416,427	+9.64%	194.5 sq mi	503.9 km2	2,141 per sq mi	826 km−2	38.8673°N 104.7607°W
41	Virginia Beach[15]	Virginia	452,745	437,994	+3.37%	249.0 sq mi	644.9 km2	1,759 per sq mi	679 km−2	36.7793°N 76.0240°W
42	Raleigh	North Carolina	451,066	403,892	+11.68%	142.9 sq mi	370.1 km2	2,826 per sq mi	1,091 km−2	35.8302°N 78.6414°W
43	Omaha	Nebraska	443,885	408,958	+8.54%	127.1 sq mi	329.2 km2	3,218 per sq mi	1,242 km−2	41.2647°N 96.0419°W
44	Miami	Florida	441,003	399,457	+10.40%	35.9 sq mi	92.9 km2	11,539 per sq mi	4,455 km−2	25.7752°N 80.2086°W
45	Oakland	California	419,267	390,724	+7.31%	55.9 sq mi	144.8 km2	7,004 per sq mi	2,704 km−2	37.7699°N 122.2256°W
46	Minneapolis	Minnesota	410,939	382,578	+7.41%	54.0 sq mi	139.8 km2	7,088 per sq mi	2,737 km−2	44.9633°N 93.2683°W
47	Tulsa	Oklahoma	403,505	391,906	+2.96%	196.8 sq mi	509.6 km2	1,992 per sq mi	769 km−2	36.1279°N 95.9023°W
48	Wichita	Kansas	389,965	382,368	+1.99%	159.3 sq mi	412.6 km2	2,400 per sq mi	927 km−2	37.6907°N 97.3427°W
49	New Orleans[17]	Louisiana	389,617	343,829	+13.32%	169.4 sq mi	438.8 km2	2,029 per sq mi	784 km−2	30.0686°N 89.9390°W
50	Arlington	Texas	388,125	365,438	+6.21%	95.9 sq mi	248.3 km2	3,811 per sq mi	1,472 km−2	32.7007°N 97.1247°W
51	Cleveland	Ohio	388,072	396,815	−2.20%	77.7 sq mi	201.2 km2	5,107 per sq mi	1,972 km−2	41.4781°N 81.6795°W
52	Bakersfield	California	373,640	347,483	+7.53%	142.2 sq mi	368.2 km2	2,444 per sq mi	944 km−2	35.3212°N 119.0183°W
53	Tampa	Florida	369,075	335,709	+9.94%	113.4 sq mi	293.7 km2	3,077 per sq mi	1,182 km−2	27.9701°N 82.4797°W
54	Aurora	Colorado	359,407	325,078	+10.56%	154.1 sq mi	369.1 km2	2,110 per sq mi	881 km−2	39.7082°N 104.8235°W
